Frequency,Name,Signal Level,Address,Channel
2.412,,-43,AE:AE:19:BB:02:32,1
2.412,DIRECT-1A-HP DeskJet 2600 series,-46,40:B0:34:67:03:1B,1
2.412,NAU,-46,18:33:9D:F0:97:30,1
2.437,NAU,-47,18:33:9D:F0:96:E0,6
2.412,NAU Guest,-47,18:33:9D:F0:97:31,1
2.437,NAU Guest,-48,18:33:9D:F0:96:E1,6
2.462,NAU,-55,18:33:9D:C6:EC:00,11
2.462,NAU Guest,-55,18:33:9D:C6:EC:01,11
2.437,NAU,-63,18:33:9D:C6:E9:20,6
2.462,SIDIOUS-PC,-63,DE:FB:48:EA:4B:D8,11
2.437,NAU Guest,-64,18:33:9D:C6:E9:21,6
2.437,NAU,-65,18:33:9D:71:7C:A0,6
2.412,NAU,-66,18:33:9D:C6:EB:00,1
2.412,NAU Guest,-66,18:33:9D:71:80:21,1
2.412,NAU,-66,18:33:9D:71:80:20,1
2.437,NAU Guest,-66,18:33:9D:71:7C:A1,6
2.412,NAU,-67,18:33:9D:71:7A:F0,1
2.412,NAU,-67,18:33:9D:F0:9A:20,1
2.437,DIRECT-F1-HP DeskJet 2600 series,-67,C4:65:16:52:72:F2,6
2.462,NAU Guest,-67,18:33:9D:C6:E6:A1,11
2.412,NAU Guest,-68,18:33:9D:F0:9A:21,1
2.412,DIRECT-922415C5,-70,3A:9D:92:24:95:C5,1
5.5,NAU Guest,-74,18:33:9D:F0:96:EE,100
5.5,NAU,-74,18:33:9D:F0:96:EF,100
2.412,NAU Guest,-75,18:33:9D:F0:91:11,1
5.66,NAU,-77,18:33:9D:F0:97:3F,132
5.66,NAU Guest,-77,18:33:9D:F0:97:3E,132
5.26,NAU Guest,-90,18:33:9D:C6:EC:0E,52
5.26,NAU,-90,18:33:9D:C6:EC:0F,52
5.32,NAU Guest,-90,18:33:9D:C6:E6:AE,64
5.32,NAU,-90,18:33:9D:C6:E6:AF,64
5.805,DIRECT-qo-FireTV_ed33,-90,42:B4:CD:DA:71:3D,161
5.56,NAU,-92,18:33:9D:71:7C:AF,112
5.56,NAU Guest,-93,18:33:9D:71:7C:AE,112
2.412,GoogleHome6930.o,-40,FA:8F:CA:3C:FB:D0,1
